,block_name,cpu_b,cpu_s,gpu
261,expanded_conv-input:8x8x24-output:8x8x192-expand:6-kernel:3-stride:1-idskip:0,0.273044,0.416669,1.40044
262,expanded_conv-input:8x8x24-output:8x8x192-expand:3-kernel:5-stride:1-idskip:0,0.18173,0.295697,0.805149
263,expanded_conv-input:8x8x24-output:8x8x192-expand:6-kernel:5-stride:1-idskip:0,0.338685,0.433992,1.50899
264,expanded_conv-input:8x8x24-output:8x8x192-expand:3-kernel:7-stride:1-idskip:0,0.251319,0.400081,0.855937
265,expanded_conv-input:8x8x24-output:8x8x192-expand:6-kernel:7-stride:1-idskip:0,0.405777,0.724238,1.48028
266,expanded_conv-input:8x8x24-output:4x4x192-expand:3-kernel:3-stride:2-idskip:0,0.122485,0.220843,0.392313
267,expanded_conv-input:8x8x24-output:4x4x192-expand:6-kernel:3-stride:2-idskip:0,0.15296,0.269553,0.646201
268,expanded_conv-input:8x8x24-output:4x4x192-expand:3-kernel:5-stride:2-idskip:0,0.132599,0.254696,0.369279
269,expanded_conv-input:8x8x24-output:4x4x192-expand:6-kernel:5-stride:2-idskip:0,0.218784,0.350594,0.673591
270,expanded_conv-input:8x8x24-output:4x4x192-expand:3-kernel:7-stride:2-idskip:0,0.146449,0.284384,0.406552
271,expanded_conv-input:8x8x24-output:4x4x192-expand:6-kernel:7-stride:2-idskip:0,0.201114,0.440837,0.707347
272,expanded_conv-input:4x4x24-output:4x4x192-expand:3-kernel:3-stride:1-idskip:0,0.107508,0.198772,0.336817
273,expanded_conv-input:4x4x24-output:4x4x192-expand:6-kernel:3-stride:1-idskip:0,0.1335,0.25263,0.498674
274,expanded_conv-input:4x4x24-output:4x4x192-expand:3-kernel:5-stride:1-idskip:0,0.115771,0.202577,0.321625
275,expanded_conv-input:4x4x24-output:4x4x192-expand:6-kernel:5-stride:1-idskip:0,0.140308,0.259747,0.752344
276,expanded_conv-input:4x4x24-output:4x4x192-expand:3-kernel:7-stride:1-idskip:0,0.134184,0.266634,0.424386
277,expanded_conv-input:4x4x24-output:4x4x192-expand:6-kernel:7-stride:1-idskip:0,0.180615,0.410664,0.499379
278,expanded_conv-input:4x4x24-output:2x2x192-expand:3-kernel:3-stride:2-idskip:0,0.0939721,0.175976,0.344151
279,expanded_conv-input:4x4x24-output:2x2x192-expand:6-kernel:3-stride:2-idskip:0,0.105079,0.192879,0.798611
280,expanded_conv-input:4x4x24-output:2x2x192-expand:3-kernel:5-stride:2-idskip:0,0.101882,0.185376,0.35481
281,expanded_conv-input:4x4x24-output:2x2x192-expand:6-kernel:5-stride:2-idskip:0,0.114097,0.23302,0.465398
282,expanded_conv-input:4x4x24-output:2x2x192-expand:3-kernel:7-stride:2-idskip:0,0.103182,0.204744,0.320717
283,expanded_conv-input:4x4x24-output:2x2x192-expand:6-kernel:7-stride:2-idskip:0,0.125655,0.289262,0.601186
284,expanded_conv-input:2x2x24-output:2x2x192-expand:3-kernel:3-stride:1-idskip:0,0.0774798,0.139931,0.352717
285,expanded_conv-input:2x2x24-output:2x2x192-expand:6-kernel:3-stride:1-idskip:0,0.0986971,0.173285,0.462688
286,expanded_conv-input:2x2x24-output:2x2x192-expand:3-kernel:5-stride:1-idskip:0,0.08022,0.14365,0.339892
287,expanded_conv-input:2x2x24-output:2x2x192-expand:6-kernel:5-stride:1-idskip:0,0.101483,0.182287,0.446291
288,expanded_conv-input:2x2x24-output:2x2x192-expand:3-kernel:7-stride:1-idskip:0,0.0875729,0.174614,0.371482
289,expanded_conv-input:2x2x24-output:2x2x192-expand:6-kernel:7-stride:1-idskip:0,0.116915,0.242544,0.62413
290,expanded_conv-input:2x2x24-output:1x1x192-expand:3-kernel:3-stride:2-idskip:0,0.0641477,0.120521,0.58056
291,expanded_conv-input:2x2x24-output:1x1x192-expand:6-kernel:3-stride:2-idskip:0,0.0817294,0.151799,0.244822
292,expanded_conv-input:2x2x24-output:1x1x192-expand:3-kernel:5-stride:2-idskip:0,0.0645239,0.136774,0.204157
293,expanded_conv-input:2x2x24-output:1x1x192-expand:6-kernel:5-stride:2-idskip:0,0.094936,0.199494,0.274846
294,expanded_conv-input:2x2x24-output:1x1x192-expand:3-kernel:7-stride:2-idskip:0,0.0722429,0.153258,0.258548
295,expanded_conv-input:2x2x24-output:1x1x192-expand:6-kernel:7-stride:2-idskip:0,0.105519,0.212301,0.269105
296,expanded_conv-input:32x32x24-output:32x32x320-expand:3-kernel:3-stride:1-idskip:0,2.84847,3.13116,9.87806
297,expanded_conv-input:32x32x24-output:32x32x320-expand:6-kernel:3-stride:1-idskip:0,5.68749,5.56354,19.1168
