block_name,time
expanded_conv-input:32x32x24-output:32x32x192-expand:6-kernel:7-stride:1-idskip:0,14.3077
expanded_conv-input:32x32x24-output:16x16x192-expand:3-kernel:3-stride:2-idskip:0,2.40265
expanded_conv-input:32x32x24-output:16x16x192-expand:6-kernel:3-stride:2-idskip:0,4.62648
expanded_conv-input:32x32x24-output:16x16x192-expand:3-kernel:5-stride:2-idskip:0,2.72564
expanded_conv-input:32x32x24-output:16x16x192-expand:6-kernel:5-stride:2-idskip:0,4.86256
expanded_conv-input:32x32x24-output:16x16x192-expand:3-kernel:7-stride:2-idskip:0,2.70407
expanded_conv-input:32x32x24-output:16x16x192-expand:6-kernel:7-stride:2-idskip:0,5.2798
expanded_conv-input:16x16x24-output:16x16x192-expand:3-kernel:3-stride:1-idskip:0,1.82787
expanded_conv-input:16x16x24-output:16x16x192-expand:6-kernel:3-stride:1-idskip:0,3.36912
expanded_conv-input:16x16x24-output:16x16x192-expand:3-kernel:5-stride:1-idskip:0,1.85839
expanded_conv-input:16x16x24-output:16x16x192-expand:6-kernel:5-stride:1-idskip:0,3.62176
expanded_conv-input:16x16x24-output:16x16x192-expand:3-kernel:7-stride:1-idskip:0,2.05158
expanded_conv-input:16x16x24-output:16x16x192-expand:6-kernel:7-stride:1-idskip:0,3.88616
expanded_conv-input:16x16x24-output:8x8x192-expand:3-kernel:3-stride:2-idskip:0,1.17765
expanded_conv-input:16x16x24-output:8x8x192-expand:6-kernel:3-stride:2-idskip:0,1.66013
expanded_conv-input:16x16x24-output:8x8x192-expand:3-kernel:5-stride:2-idskip:0,1.0338
expanded_conv-input:16x16x24-output:8x8x192-expand:6-kernel:5-stride:2-idskip:0,1.69167
expanded_conv-input:16x16x24-output:8x8x192-expand:3-kernel:7-stride:2-idskip:0,1.02749
expanded_conv-input:16x16x24-output:8x8x192-expand:6-kernel:7-stride:2-idskip:0,2.11564
expanded_conv-input:8x8x24-output:8x8x192-expand:3-kernel:3-stride:1-idskip:0,0.803005
expanded_conv-input:8x8x24-output:8x8x192-expand:6-kernel:3-stride:1-idskip:0,1.40044
expanded_conv-input:8x8x24-output:8x8x192-expand:3-kernel:5-stride:1-idskip:0,0.805149
expanded_conv-input:8x8x24-output:8x8x192-expand:6-kernel:5-stride:1-idskip:0,1.50899
expanded_conv-input:8x8x24-output:8x8x192-expand:3-kernel:7-stride:1-idskip:0,0.855937
expanded_conv-input:8x8x24-output:8x8x192-expand:6-kernel:7-stride:1-idskip:0,1.48028
expanded_conv-input:8x8x24-output:4x4x192-expand:3-kernel:3-stride:2-idskip:0,0.392313
expanded_conv-input:8x8x24-output:4x4x192-expand:6-kernel:3-stride:2-idskip:0,0.646201
expanded_conv-input:8x8x24-output:4x4x192-expand:3-kernel:5-stride:2-idskip:0,0.369279
expanded_conv-input:8x8x24-output:4x4x192-expand:6-kernel:5-stride:2-idskip:0,0.673591
expanded_conv-input:8x8x24-output:4x4x192-expand:3-kernel:7-stride:2-idskip:0,0.406552
expanded_conv-input:8x8x24-output:4x4x192-expand:6-kernel:7-stride:2-idskip:0,0.707347
expanded_conv-input:4x4x24-output:4x4x192-expand:3-kernel:3-stride:1-idskip:0,0.336817
expanded_conv-input:4x4x24-output:4x4x192-expand:6-kernel:3-stride:1-idskip:0,0.498674
expanded_conv-input:4x4x24-output:4x4x192-expand:3-kernel:5-stride:1-idskip:0,0.321625
expanded_conv-input:4x4x24-output:4x4x192-expand:6-kernel:5-stride:1-idskip:0,0.752344
expanded_conv-input:4x4x24-output:4x4x192-expand:3-kernel:7-stride:1-idskip:0,0.424386
expanded_conv-input:4x4x24-output:4x4x192-expand:6-kernel:7-stride:1-idskip:0,0.499379
expanded_conv-input:4x4x24-output:2x2x192-expand:3-kernel:3-stride:2-idskip:0,0.344151
expanded_conv-input:4x4x24-output:2x2x192-expand:6-kernel:3-stride:2-idskip:0,0.798611
